Perovskite_composition_long_form,Perovskite_deposition_solvents,Perovskite_deposition_solvents_mixing_ratios,Perovskite_deposition_thermal_annealing_temperature,Perovskite_deposition_thermal_annealing_time,Encapsulation,TS80,TS80m,lnTS80m
((COOH(CH2)4NH3))2((NH2)2CH)4Sn5I16,DMF; DMSO,3; 1,100,20,FALSE,29.7949,5.08577987,1.626448385
((COOH(CH2)4NH3))2((NH2)2CH)4Sn5I16,DMF; DMSO,3; 1,100,20,FALSE,847.162,144.604595,4.974003086
((NH2)2CH)0.85(CH3NH3)0.15PbBr0.45I2.55,DMF; DMSO,4; 1,100,30,FALSE,1124.43,383.8645848,5.950289847
((NH2)2CH)0.85(CH3NH3)0.15PbBr0.45I2.55,DMF; DMSO >> IPA,4; 1 >> 1,100.0 >> 100,30.0 >> Unknown,FALSE,4350.35,1485.148294,7.303269908
CsPbI3,DMF,1,100,10,FALSE,203.274,43.37180261,3.769809521
Cs0.25((NH2)2CH)0.75PbBr0.6I2.4,DMF; DMSO,4; 1,100,60,FALSE,824.634,140.7592238,4.947050798
(CH3NH3)PbI3,DMF; DMSO,7; 1,100,30,FALSE,350,1305.445945,7.174299982
(CH3NH3)PbI3,DMF; DMSO,7; 1,100,30,FALSE,593.013,2211.846904,7.701583149
CsPbBrI2,DMSO,1,40; 160,2.0; 10.0,FALSE,280.536,47.88552208,3.868813206
CsPbBrI2,DMSO,1,40; 160,2.0; 10.0,FALSE,2005.13,342.2615881,5.835575322
((NH2)2CH)PbI3,DMF; DMSO,4; 1,150,40,FALSE,635.371,543.5543991,6.298129792
(CH3NH3)PbI3,DMF; DMSO,4; 1,100,10,FALSE,110.918,18.93292247,2.940902336
(CH3NH3)PbI3,DMF; DMSO,4; 1,100,10,FALSE,500.497,85.4313177,4.447712751
(CH3NH3)PbI3,DMF; DMSO,4; 1,100,20,FALSE,160.964,137.7033108,4.925101449
(CH3NH3)PbI3,DMF; DMSO,4; 1,100,20,FALSE,4350.35,3721.686826,8.221932292
(CH3NH3)PbI3,DMF; DMSO,4; 1,100,20,FALSE,21.179,18.11845146,2.896930836
(CH3NH3)PbI3,DMF,1,105,40,FALSE,177.486,303.6754781,5.715959625
(CH3NH3)PbI3,DMF,1,105,40,FALSE,8.36173,14.30677549,2.660733236
Cs2SnI6,none >> none,1 >> 1,190 >> 330.0,Unknown >> 30.0,FALSE,338.865,115.6837442,4.750860125
(CH3NH3)PbI3,DMSO,1,100,20,FALSE,350,164.2919803,5.101645213
(CH3NH3)PbI3,DMSO,1,100,20,FALSE,350,164.2919803,5.101645213
(CH3NH3)PbI3,DMF; DMSO,9; 1,100,10,FALSE,609.957,208.2307396,5.33864679
(CH3NH3)PbI3,DMF; DMSO,9; 1,100,10,FALSE,107.496,36.69762227,3.602711965
Cs0.1((NH2)2CH)0.765(CH3NH3)0.135PbBr0.45I2.55,DMF; DMSO,4; 1,100,90,FALSE,560.815,3674.776654,8.209247635
Cs0.1((NH2)2CH)0.765(CH3NH3)0.135PbBr0.45I2.55,DMF; DMSO,4; 1,100,90,FALSE,741.267,4857.200086,8.488217437
Cs0.1((NH2)2CH)0.765(CH3NH3)0.135PbBr0.45I2.55,DMF; DMSO,4; 1,100,90,FALSE,741.267,4857.200086,8.488217437
Cs0.1((NH2)2CH)0.765(CH3NH3)0.135PbBr0.45I2.55,DMF; DMSO,4; 1,100,90,FALSE,741.267,4857.200086,8.488217437
CsPbBr2I,DMF; DMSO,7; 3,350,5,FALSE,133.444,45.55590447,3.818940241
CsPbBr2I,DMF; DMSO,7; 3,150,5,FALSE,1524.89,520.5759956,6.254935882
CsPbBr2I,DMF; DMSO,7; 3,350,5,FALSE,720,245.7978719,5.504509539
(CH3NH3)PbBr0.03I2.97,DMF >> IPA,1 >> 1,Unknown >> 100.0,Unknown >> 30.0,FALSE,124.319,42.44075783,3.74810917
(CH3NH3)PbI3,DMF; DMSO,9; 1,100,10,FALSE,62.5622,107.0428428,4.673229154
(CH3NH3)PbI3,DMF; DMSO,9; 1,100,10,FALSE,100,171.0982714,5.142238078
(CH3NH3)PbI3,DMF; DMSO,4; 1,100,60,FALSE,3132.25,12806.66968,9.457721383
(CH3NH3)PbI3,DMF; DMSO,4; 1,100,60,FALSE,1524.89,715.791994,6.573389614
(CH3NH3)PbI3,DMF; DMSO,4; 1,100,60,FALSE,245.69,1004.540083,6.912285087
(CH3NH3)PbI3,DMF; DMSO,4; 1,100,60,FALSE,69.7752,32.75287368,3.488990704
(CH3NH3)PbI3,DMF,1,100,15,FALSE,150.298,25.65481149,3.244731137
(CH3NH3)PbI3,DMF,1,100,15,FALSE,739.754,126.2708048,4.838428845
(CH3NH3)PbI3,none >> none >> none >> IPA,1 >> 1 >> 1 >> 1,Unknown >> Unknown >> 60.0 >> 60,Unknown >> Unknown >> 15.0 >> 15.0,FALSE,29.5546,25.28370487,3.230160112
Cs0.05((NH2)2CH)0.75(CH3NH3)0.2PbI3,none >> none >> none >> IPA,1 >> 1 >> 1 >> 1,Unknown >> Unknown >> 60.0 >> 60,Unknown >> Unknown >> 15.0 >> 15.0,FALSE,94.6637,80.98397719,4.394251323
(CH3NH3)PbI3,DMF; DMSO,3; 1,100,60,FALSE,0.557194,27.29307065,3.306632848
Cs0.15((NH2)2CH)0.85PbI3,DMF; DMSO,4; 1,130,10,FALSE,1.07786,52.79688785,3.966452247
Cs0.05((NH2)2CH)0.81(CH3NH3)0.14PbBr0.45I2.55,DMF; DMSO,9; 1,100,120,FALSE,1241.36,423.782842,6.049221159
Cs0.05((NH2)2CH)0.81(CH3NH3)0.14PbBr0.45I2.55,DMF; DMSO,9; 1,100,120,FALSE,1991.66,679.9247077,6.521982068
(CH3NH3)PbI3,DMSO; GBL,3; 7,100,30,FALSE,55.6018,18.98167238,2.943473902
(CH3NH3)PbI3,DMSO; GBL,3; 7,100,30,FALSE,337.328,115.1590341,4.746314078
(CH3NH3)PbI3,DMF,1,110,45,FALSE,37.6007,12.83635006,2.552280994
CsPbI3,DMF; DMSO,9; 1,150,120,FALSE,5193.13,1329.646148,7.192668132
CsPbI3,DMF; DMSO,9; 1,150,120,FALSE,1977.16,506.2309587,6.226993005
(CH3NH3)PbI3,DMF >> IPA,1 >> 1,70.0 >> 115.0,2.0 >> 4.0,FALSE,240.239,205.5223882,5.325554973
Cs0.1((NH2)2CH)0.7(CH3NH3)0.2PbBr0.2I2.8,DMF; DMSO,4; 1,100,10,FALSE,1420.33,727.3210237,6.589367953
Cs0.1((NH2)2CH)0.7(CH3NH3)0.2PbBr0.2I2.8,DMF; DMSO,4; 1,100,10,FALSE,1420.33,727.3210237,6.589367953
(CH3NH3)3Bi2I9,DMF,1,100,30,FALSE,574.836,196.2409243,5.27934311
CsPbI3,DMF,1,100,10,FALSE,73.6877,25.15594423,3.22509422
(CH3NH3)PbI3,DMSO; GBL,3; 7,100,15,FALSE,336,114.7056735,4.742369487
(CH3NH3)PbI3,DMSO; GBL,3; 7,100,15,FALSE,711.616,242.9356922,5.492796767
(CH3NH3)PbI3,DMF; DMSO,9; 1,65.0; 100,1.0; 10.0,FALSE,418.94,143.0202228,4.962986039
(CH3NH3)PbI3,DMF; DMSO,9; 1,65.0; 100,1.0; 10.0,FALSE,150.149,51.25875648,3.936886462
(CH3NH3)PbI3,DMF,1,100,30,FALSE,423.581,72.30229748,4.280855906
(CH3NH3)PbI3,DMF,1,100,30,FALSE,26.0256,4.442386871,1.491191816
