Sample	
Comments	
Filename	C:\Windmax\Data\í©ì˙å§\ê[‡V\20230928\MAPbI3_010_9.raw
Goniometer	UltimaáV ≤›Ãﬂ⁄∞›(D/teX)
Attachment	îññåééóøë‰
ScanningMode	2Theta
ScanningType	Continuos Scanning
X-Ray	40kV/40mA
±Ø√»∞¿	äJï˙
î≠éUΩÿØƒ	0.10mm
éUóêΩÿØƒ	äJï˙
éÛåıΩÿØƒ	äJï˙
î≠éUècêßå¿ΩÿØƒ	10mm
áAì¸éÀÉ\Å[ÉâÅ[	V5
áDéÛåıÉ\Å[ÉâÅ[âE	
áDéÛåıÉ\Å[ÉâÅ[ç∂	PB0.5
Start	5
Stop	45
Step	0.05
40.5	656.667
40.55	628.333
40.6	580
40.65	550
40.7	448.333
40.75	393.333
40.8	316.667
40.85	280
40.9	173.333
40.95	141.667
41	96.6667
41.05	123.333
41.1	88.3333
41.15	76.6667
41.2	100
41.25	80
41.3	78.3333
41.35	93.3333
41.4	116.667
41.45	78.3333
41.5	73.3333
41.55	78.3333
41.6	86.6667
41.65	100
41.7	103.333
41.75	71.6667
41.8	81.6667
41.85	95
41.9	100
41.95	98.3333
42	81.6667
42.05	83.3333
42.1	110
42.15	81.6667
42.2	108.333
42.25	118.333
42.3	151.667
42.35	126.667
42.4	160
42.45	196.667
42.5	211.667
42.55	208.333
42.6	221.667
42.65	221.667
42.7	200
42.75	226.667
42.8	246.667
42.85	281.667
42.9	338.333
42.95	381.667
43	476.667
43.05	545
43.1	645
43.15	586.667
43.2	483.333
43.25	493.333
43.3	345
43.35	311.667
43.4	248.333
43.45	136.667
43.5	121.667
43.55	113.333
43.6	71.6667
43.65	91.6667
43.7	88.3333
43.75	73.3333
43.8	53.3333
43.85	71.6667
43.9	95
43.95	78.3333
44	81.6667
44.05	78.3333
44.1	83.3333
44.15	75
44.2	70
44.25	81.6667
44.3	88.3333
44.35	106.667
44.4	75
44.45	81.6667
44.5	75
44.55	71.6667
44.6	68.3333
44.65	83.3333
44.7	81.6667
44.75	66.6667
44.8	80
44.85	66.6667
44.9	70
44.95	76.6667
45	70
