2theta (deg),intensity (cps)
43.8,81.6667
43.85,76.6667
43.9,100.0
43.95,86.6667
44.0,78.3333
44.05,66.6667
44.1,73.3333
44.15,90.0
44.2,73.3333
44.25,83.3333
44.3,78.3333
44.35,81.6667
44.4,76.6667
44.45,83.3333
44.5,66.6667
44.55,66.6667
44.6,65.0
44.65,65.0
44.7,85.0
44.75,88.3333
44.8,81.6667
44.85,80.0
44.9,63.3333
44.95,75.0
45.0,60.0
